Año,Num víctimas,AÑO_ANTERIOR,TASA_HOMICIDIOS,TASA_AÑO_ANTERIOR,VARIACION
2016,65,0,2.0829247596304827,0.0,inf
2017,56,65,1.794519792912416,2.0829247596304827,-13.846153846153845
2018,57,56,1.8265647892144234,1.794519792912416,1.7857142857142911
2019,50,57,1.6022498151003715,1.8265647892144234,-12.280701754385964
2020,28,50,0.897259896456208,1.6022498151003715,-44.00000000000001
2021,46,28,1.4740698298923416,0.897259896456208,64.28571428571428
